Input:  
0.00, 1.00, 2.00, 3.00, 4.00, 5.00, 6.00,  
7.00, 8.00, 9.00, 10.00, 11.00, 12.00, 13.00,  
14.00, 15.00, 16.00, 17.00, 18.00, 19.00, 20.00,  
21.00, 22.00, 23.00, 24.00, 25.00, 26.00, 27.00,  
28.00, 29.00, 30.00, 31.00, 32.00, 33.00, 34.00,  
35.00, 36.00, 37.00, 38.00, 39.00, 40.00, 41.00,  
42.00, 43.00, 44.00, 45.00, 46.00, 47.00, 48.00, 
Sequential Output:  
22.42, 22.18, 22.27, 22.62, 22.97, 23.06, 22.82,  
20.71, 20.47, 20.55, 20.91, 21.26, 21.35, 21.10,  
21.33, 21.09, 21.18, 21.53, 21.88, 21.97, 21.73,  
23.80, 23.56, 23.65, 24.00, 24.35, 24.44, 24.20,  
26.27, 26.03, 26.12, 26.47, 26.82, 26.91, 26.67,  
26.90, 26.65, 26.74, 27.09, 27.45, 27.53, 27.29,  
25.18, 24.94, 25.03, 25.38, 25.73, 25.82, 25.58, 

Parallel Output:  
22.42, 22.18, 22.27, 22.62, 22.97, 23.06, 22.82,  
20.71, 20.47, 20.55, 20.91, 21.26, 21.35, 21.10,  
21.33, 21.09, 21.18, 21.53, 21.88, 21.97, 21.73,  
23.80, 23.56, 23.65, 24.00, 24.35, 24.44, 24.20,  
26.27, 26.03, 26.12, 26.47, 26.82, 26.91, 26.67,  
26.90, 26.65, 26.74, 27.09, 27.45, 27.53, 27.29,  
25.18, 24.94, 25.03, 25.38, 25.73, 25.82, 25.58, 
